Player,stats_Nation,stats_Pos,stats_Squad,stats_Comp,stats_Age,stats_Born,stats_MP,stats_Starts,stats_90s,stats_Gls,stats_Gls2,stats_Ast,stats_Ast2,stats_G+A,stats_G+A2,stats_G-PK,stats_G-PK2,stats_PK,stats_PKatt,stats_CrdY,stats_CrdR,stats_G+A-PK,shooting_Age,shooting_Born,shooting_90s,shooting_Gls,shooting_Sh,shooting_SoT,shooting_SoT%,shooting_Sh/90,shooting_SoT/90,shooting_G/Sh,shooting_G/SoT,shooting_Dist,shooting_PK,shooting_PKatt,passing_Age,passing_Born,passing_90s,passing_TotDist,passing_PrgDist,passing_Ast,passing_A-xAG,passing_KP,passing_1/3,passing_PPA,passing_CrsPA,passing_types_Age,passing_types_Born,passing_types_90s,passing_types_Att,passing_types_Live,passing_types_Dead,passing_types_FK,passing_types_TB,passing_types_Sw,passing_types_Crs,passing_types_TI,passing_types_CK,passing_types_In,passing_types_Out,passing_types_Str,passing_types_Cmp,passing_types_Off,passing_types_Blocks,gca_Age,gca_Born,gca_90s,gca_SCA,gca_SCA90,gca_GCA,gca_GCA90,defense_Age,defense_Born,defense_90s,defense_TklW,defense_Def 3rd,defense_Mid 3rd,defense_Att 3rd,defense_Att,defense_Tkl%,defense_Lost,defense_Blocks,defense_Sh,defense_Pass,defense_Int,defense_Tkl+Int,defense_Clr,defense_Err,possession_Age,possession_Born,possession_90s,possession_Touches,possession_Def Pen,possession_Def 3rd,possession_Mid 3rd,possession_Att 3rd,possession_Att Pen,possession_Live,possession_Att,possession_Succ,possession_Succ%,possession_Tkld,possession_Tkld%,possession_Carries,possession_TotDist,possession_PrgDist,possession_1/3,possession_CPA,possession_Mis,possession_Dis,possession_Rec,playingtime_Age,playingtime_Born,playingtime_MP,playingtime_Mn/MP,playingtime_Min%,playingtime_90s,playingtime_Starts,playingtime_Mn/Start,playingtime_Compl,playingtime_Subs,playingtime_Mn/Sub,playingtime_unSub,playingtime_PPM,playingtime_onG,playingtime_onGA,playingtime_+/-,playingtime_+/-90,misc_Age,misc_Born,misc_90s,misc_CrdY,misc_CrdR,misc_2CrdY,misc_Fls,misc_Fld,misc_Off,misc_Crs,misc_Int,misc_TklW,misc_PKwon,misc_PKcon,misc_OG
Kilian Toscano,co COL,FW,Nacional,Primera Division Colombia,18,2004,2,0,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,18,2004,0.2,-0.49808168509715733,-0.5646528113138414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,18,2004,0.2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,18,2004,0.2,-0.4280538834905829,-0.4246441396390137,-0.31285963976771886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2004,0.2,0.0,0.0,0.0,0.0,18,2004,0.2,0.0,-0.3600600598727222,-0.3797453593702314,-0.3316251144282009,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18,2004,0.2,0.0,-0.21375727072776146,0.0,-0.4056717861391436,-0.37823455060996736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2004,2,10,0.4,0.2,0,0,0,2,10,3,1.5,0,1,-1,-4.74,18,2004,0.2,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
Cristian Tovar,co COL,DF,Pasto,Primera Division Colombia,24,1998,26,24,24.5,1,0.04,0,0.0,1,0.04,1,0.04,0,0,4,0,0.04,24,1998,24.5,-0.0947228025091405,0.6110873894201625,2.0,11.1,0.73,0.08,0.06,0.5,0.0,0,0,24,1998,24.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,24,1998,24.5,-0.4280538834905829,-0.4246441396390137,-0.31285963976771886,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,1998,24.5,0.0,0.0,0.0,0.0,24,1998,24.5,29.0,-0.3600600598727222,-0.3797453593702314,-0.3316251144282009,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,24,1998,24.5,0.0,-0.21375727072776146,0.0,-0.4056717861391436,-0.37823455060996736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,1998,26,85,53.3,24.5,24,90,24,2,23,0,1.35,25,25,0,0.0,24,1998,24.5,4,0,0,13.0,8.0,3.0,1.0,25.0,29.0,0.0,0.0,0
Cristian Trujillo,co COL,MF,Tolima,Primera Division Colombia,24,1998,27,15,15.2,1,0.07,0,0.0,1,0.07,1,0.07,0,0,9,0,0.07,24,1998,15.2,-0.0947228025091405,0.21917398917549452,2.0,16.7,0.79,0.13,0.08,0.5,0.0,0,0,24,1998,15.2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,24,1998,15.2,-0.4280538834905829,-0.4246441396390137,-0.31285963976771886,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,1998,15.2,0.0,0.0,0.0,0.0,24,1998,15.2,20.0,-0.3600600598727222,-0.3797453593702314,-0.3316251144282009,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,24,1998,15.2,0.0,-0.21375727072776146,0.0,-0.4056717861391436,-0.37823455060996736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,1998,27,51,32.9,15.2,15,73,6,12,22,4,1.93,17,15,2,0.13,24,1998,15.2,9,0,0,37.0,11.0,1.0,6.0,18.0,20.0,0.0,0.0,0
Jefrey Trujillo,co COL,DF,Unión Magdalena,Primera Division Colombia,20,2002,3,1,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,20,2002,2.0,-0.49808168509715733,-0.5646528113138414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,20,2002,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,20,2002,2.0,-0.4280538834905829,-0.4246441396390137,-0.31285963976771886,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,2002,2.0,0.0,0.0,0.0,0.0,20,2002,2.0,5.0,-0.3600600598727222,-0.3797453593702314,-0.3316251144282009,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,20,2002,2.0,0.0,-0.21375727072776146,0.0,-0.4056717861391436,-0.37823455060996736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,2002,3,61,5.1,2.0,1,90,1,2,47,5,0.33,2,3,-1,-0.49,20,2002,2.0,1,0,0,2.0,1.0,0.0,1.0,2.0,5.0,0.0,0.0,0
Duván Urango,co COL,MF,Jaguares,Primera Division Colombia,26,1996,18,8,8.6,1,0.12,0,0.0,1,0.12,1,0.12,0,0,0,0,0.12,26,1996,8.6,-0.0947228025091405,0.2844928892162725,5.0,38.5,1.51,0.58,0.08,0.2,0.0,0,0,26,1996,8.6,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,26,1996,8.6,-0.4280538834905829,-0.4246441396390137,-0.31285963976771886,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,1996,8.6,0.0,0.0,0.0,0.0,26,1996,8.6,6.0,-0.3600600598727222,-0.3797453593702314,-0.3316251144282009,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,26,1996,8.6,0.0,-0.21375727072776146,0.0,-0.4056717861391436,-0.37823455060996736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,1996,18,43,21.5,8.6,8,60,0,10,30,2,0.72,4,13,-9,-1.05,26,1996,8.6,0,0,0,4.0,12.0,3.0,24.0,6.0,6.0,0.0,0.0,0
Fernando Uribe,co COL,FW,Millonarios,Primera Division Colombia,35,1988,37,11,14.2,4,0.28,0,0.0,4,0.28,4,0.28,0,0,3,0,0.28,35,1988,14.2,1.11535384525491,0.8723629895832745,9.0,40.9,1.55,0.63,0.18,0.44,0.0,0,0,35,1988,14.2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,35,1988,14.2,-0.4280538834905829,-0.4246441396390137,-0.31285963976771886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,1988,14.2,0.0,0.0,0.0,0.0,35,1988,14.2,3.0,-0.3600600598727222,-0.3797453593702314,-0.3316251144282009,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,35,1988,14.2,0.0,-0.21375727072776146,0.0,-0.4056717861391436,-0.37823455060996736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,1988,37,35,26.1,14.2,11,78,4,26,16,2,1.7,10,14,-4,-0.28,35,1988,14.2,3,0,0,9.0,4.0,13.0,0.0,3.0,3.0,0.0,0.0,0
Efrain Ustariz,co COL,GK,Unión Magdalena,Primera Division Colombia,19,2003,1,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,19,2003,1.0,-0.49808168509715733,-0.5646528113138414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,19,2003,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,19,2003,1.0,-0.4280538834905829,-0.4246441396390137,-0.31285963976771886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,2003,1.0,0.0,0.0,0.0,0.0,19,2003,1.0,0.0,-0.3600600598727222,-0.3797453593702314,-0.3316251144282009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,2003,1.0,0.0,-0.21375727072776146,0.0,-0.4056717861391436,-0.37823455060996736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,2003,1,90,2.5,1.0,1,90,1,0,0,2,0.0,0,4,-4,-4.0,19,2003,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Yhojan Valbuena,co COL,MF,Envigado,Primera Division Colombia,25,1997,3,1,1.6,0,0.0,1,0.63,1,0.63,0,0.0,0,0,1,0,0.63,25,1997,1.6,-0.49808168509715733,-0.3686961111915074,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0,0,25,1997,1.6,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,25,1997,1.6,-0.4280538834905829,-0.4246441396390137,-0.31285963976771886,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,1997,1.6,0.0,0.0,0.0,0.0,25,1997,1.6,2.0,-0.3600600598727222,-0.3797453593702314,-0.3316251144282009,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,25,1997,1.6,0.0,-0.21375727072776146,0.0,-0.4056717861391436,-0.37823455060996736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,1997,3,47,3.9,1.6,1,89,0,2,27,0,0.0,2,3,-1,-0.63,25,1997,1.6,1,0,0,3.0,5.0,0.0,9.0,2.0,2.0,0.0,0.0,0
Dairon Valencia,co COL,"MF,FW",CA Bucaramanga,Primera Division Colombia,23,1999,18,11,9.2,1,0.11,0,0.0,1,0.11,1,0.11,0,0,3,0,0.11,23,1999,9.2,-0.0947228025091405,0.34981178925705053,6.0,42.9,1.52,0.65,0.07,0.17,0.0,0,0,23,1999,9.2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,23,1999,9.2,-0.4280538834905829,-0.4246441396390137,-0.31285963976771886,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,1999,9.2,0.0,0.0,0.0,0.0,23,1999,9.2,9.0,-0.3600600598727222,-0.3797453593702314,-0.3316251144282009,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,23,1999,9.2,0.0,-0.21375727072776146,0.0,-0.4056717861391436,-0.37823455060996736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,1999,18,46,23.0,9.2,11,63,1,7,20,0,1.22,9,9,0,0.0,23,1999,9.2,3,0,0,8.0,6.0,4.0,9.0,4.0,9.0,0.0,0.0,0
Fredy Valencia,co COL,DF,Pasto,Primera Division Colombia,25,1997,5,5,4.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,25,1997,4.9,-0.49808168509715733,-0.4993339112730634,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0,0,25,1997,4.9,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,25,1997,4.9,-0.4280538834905829,-0.4246441396390137,-0.31285963976771886,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,1997,4.9,0.0,0.0,0.0,0.0,25,1997,4.9,3.0,-0.3600600598727222,-0.3797453593702314,-0.3316251144282009,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,25,1997,4.9,0.0,-0.21375727072776146,0.0,-0.4056717861391436,-0.37823455060996736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,1997,5,88,10.6,4.9,5,88,4,0,0,0,1.0,4,4,0,0.0,25,1997,4.9,0,0,0,11.0,6.0,0.0,7.0,5.0,3.0,0.0,0.0,0
Jader Valencia,co COL,"FW,MF",Millonarios,Primera Division Colombia,23,1999,22,11,13.8,4,0.29,1,0.07,5,0.36,4,0.29,0,0,2,1,0.36,23,1999,13.8,1.11535384525491,1.0683196897056084,10.0,40.0,1.81,0.73,0.16,0.4,0.0,0,0,23,1999,13.8,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,23,1999,13.8,-0.4280538834905829,-0.4246441396390137,-0.31285963976771886,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,1999,13.8,0.0,0.0,0.0,0.0,23,1999,13.8,8.0,-0.3600600598727222,-0.3797453593702314,-0.3316251144282009,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,23,1999,13.8,0.0,-0.21375727072776146,0.0,-0.4056717861391436,-0.37823455060996736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,1999,22,56,25.4,13.8,11,81,8,11,32,0,1.64,13,11,2,0.15,23,1999,13.8,2,1,0,17.0,15.0,1.0,26.0,4.0,8.0,0.0,0.0,0
Kener Valencia,co COL,FW,Pereira,Primera Division Colombia,21,2001,21,12,13.3,3,0.23,1,0.08,4,0.3,2,0.15,1,1,2,0,0.23,21,2001,13.3,0.7119949626668931,1.9827842902765005,15.0,38.5,2.94,1.13,0.05,0.13,0.0,1,1,21,2001,13.3,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,21,2001,13.3,-0.4280538834905829,-0.4246441396390137,-0.31285963976771886,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,2001,13.3,0.0,0.0,0.0,0.0,21,2001,13.3,5.0,-0.3600600598727222,-0.3797453593702314,-0.3316251144282009,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,21,2001,13.3,0.0,-0.21375727072776146,0.0,-0.4056717861391436,-0.37823455060996736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,2001,21,57,33.2,13.3,12,85,10,9,19,0,1.1,14,20,-6,-0.45,21,2001,13.3,2,0,0,19.0,17.0,6.0,8.0,1.0,5.0,0.0,0.0,0
Maicol Valencia,co COL,DF,CD América,Primera Division Colombia,18,2004,1,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,1,0.0,18,2004,0.5,-0.49808168509715733,-0.4993339112730634,0.0,0.0,2.05,0.0,0.0,0.0,0.0,0,0,18,2004,0.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,18,2004,0.5,-0.4280538834905829,-0.4246441396390137,-0.31285963976771886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2004,0.5,0.0,0.0,0.0,0.0,18,2004,0.5,2.0,-0.3600600598727222,-0.3797453593702314,-0.3316251144282009,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,18,2004,0.5,0.0,-0.21375727072776146,0.0,-0.4056717861391436,-0.37823455060996736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2004,1,44,0.9,0.5,1,44,0,0,0,0,3.0,1,0,1,2.05,18,2004,0.5,0,1,0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0
Yeiler Valencia,co COL,MF,Once Caldas,Primera Division Colombia,18,2004,15,1,4.3,1,0.23,0,0.0,1,0.23,1,0.23,0,0,4,1,0.23,18,2004,4.3,-0.0947228025091405,0.2844928892162725,4.0,30.8,3.02,0.93,0.08,0.25,0.0,0,0,18,2004,4.3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,18,2004,4.3,-0.4280538834905829,-0.4246441396390137,-0.31285963976771886,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2004,4.3,0.0,0.0,0.0,0.0,18,2004,4.3,6.0,-0.3600600598727222,-0.3797453593702314,-0.3316251144282009,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,18,2004,4.3,0.0,-0.21375727072776146,0.0,-0.4056717861391436,-0.37823455060996736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2004,15,26,10.8,4.3,1,67,0,14,23,6,1.2,5,5,0,0.0,18,2004,4.3,4,1,1,11.0,4.0,2.0,20.0,2.0,6.0,0.0,0.0,0
Oscar Vanegas,co COL,DF,Millonarios,Primera Division Colombia,26,1996,15,12,11.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0,5,0,0.0,26,1996,11.8,-0.49808168509715733,0.6110873894201625,4.0,22.2,1.53,0.34,0.0,0.0,0.0,0,0,26,1996,11.8,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,26,1996,11.8,-0.4280538834905829,-0.4246441396390137,-0.31285963976771886,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,1996,11.8,0.0,0.0,0.0,0.0,26,1996,11.8,6.0,-0.3600600598727222,-0.3797453593702314,-0.3316251144282009,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,26,1996,11.8,0.0,-0.21375727072776146,0.0,-0.4056717861391436,-0.37823455060996736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,1996,15,71,21.7,11.8,12,86,10,3,10,6,1.47,12,11,1,0.08,26,1996,11.8,5,0,0,12.0,4.0,0.0,1.0,16.0,6.0,0.0,0.0,0
Cristopher Varela,ve VEN,GK,CA Bucaramanga,Primera Division Colombia,23,1999,16,15,14.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,23,1999,14.5,-0.49808168509715733,-0.5646528113138414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,23,1999,14.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,23,1999,14.5,-0.4280538834905829,-0.4246441396390137,-0.31285963976771886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,1999,14.5,0.0,0.0,0.0,0.0,23,1999,14.5,0.0,-0.3600600598727222,-0.3797453593702314,-0.3316251144282009,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23,1999,14.5,0.0,-0.21375727072776146,0.0,-0.4056717861391436,-0.37823455060996736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,1999,16,82,36.2,14.5,15,82,13,1,80,18,1.0,13,18,-5,-0.35,23,1999,14.5,1,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
Christian Vargas,co COL,GK,Tolima,Primera Division Colombia,33,1989,12,10,11.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,2,0,0.0,33,1989,11.3,-0.49808168509715733,-0.5646528113138414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,33,1989,11.3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,33,1989,11.3,-0.4280538834905829,-0.4246441396390137,-0.31285963976771886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,1989,11.3,0.0,0.0,0.0,0.0,33,1989,11.3,0.0,-0.3600600598727222,-0.3797453593702314,-0.3316251144282009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,1989,11.3,0.0,-0.21375727072776146,0.0,-0.4056717861391436,-0.37823455060996736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,1989,12,85,24.6,11.3,10,89,9,2,66,30,0.85,13,20,-7,-0.62,33,1989,11.3,2,0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Jesús Vargas,ve VEN,"MF,FW",Envigado,Primera Division Colombia,23,1999,20,13,11.6,1,0.09,0,0.0,1,0.09,1,0.09,0,0,2,0,0.09,23,1999,11.6,-0.0947228025091405,0.7417251895017185,7.0,35.0,1.73,0.6,0.05,0.14,0.0,0,0,23,1999,11.6,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,23,1999,11.6,-0.4280538834905829,-0.4246441396390137,-0.31285963976771886,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,1999,11.6,0.0,0.0,0.0,0.0,23,1999,11.6,6.0,-0.3600600598727222,-0.3797453593702314,-0.3316251144282009,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,23,1999,11.6,0.0,-0.21375727072776146,0.0,-0.4056717861391436,-0.37823455060996736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,1999,20,52,29.0,11.6,13,64,2,7,31,0,0.7,7,15,-8,-0.69,23,1999,11.6,2,0,0,8.0,19.0,5.0,34.0,3.0,6.0,0.0,0.0,0
Yeiner Vargas,co COL,MF,Atlético Huila,Primera Division Colombia,19,2003,2,0,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,19,2003,0.2,-0.49808168509715733,-0.5646528113138414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,19,2003,0.2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,19,2003,0.2,-0.4280538834905829,-0.4246441396390137,-0.31285963976771886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,2003,0.2,0.0,0.0,0.0,0.0,19,2003,0.2,0.0,-0.3600600598727222,-0.3797453593702314,-0.3316251144282009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,2003,0.2,0.0,-0.21375727072776146,0.0,-0.4056717861391436,-0.37823455060996736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,2003,2,8,0.4,0.2,0,0,0,2,8,0,1.5,0,1,-1,-6.0,19,2003,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Anthony Vásquez,co COL,FW,Rionegro,Primera Division Colombia,20,2002,10,3,2.6,1,0.38,0,0.0,1,0.38,1,0.38,0,0,2,1,0.38,20,2002,2.6,-0.0947228025091405,0.023217289053160544,5.0,55.6,3.45,1.91,0.11,0.2,0.0,0,0,20,2002,2.6,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,20,2002,2.6,-0.4280538834905829,-0.4246441396390137,-0.31285963976771886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,2002,2.6,0.0,0.0,0.0,0.0,20,2002,2.6,6.0,-0.3600600598727222,-0.3797453593702314,-0.3316251144282009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,2002,2.6,0.0,-0.21375727072776146,0.0,-0.4056717861391436,-0.37823455060996736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,2002,10,24,5.0,2.6,3,65,1,7,6,3,2.1,3,2,1,0.38,20,2002,2.6,2,1,0,7.0,9.0,1.0,0.0,0.0,6.0,0.0,0.0,0
Jhon Vasquez,co COL,"MF,FW",AD Cali,Primera Division Colombia,27,1995,38,27,26.3,2,0.08,6,0.23,8,0.3,2,0.08,0,1,9,1,0.3,27,1995,26.3,0.30863608007887633,2.178740990398834,11.0,26.2,1.6,0.42,0.05,0.18,0.0,0,1,27,1995,26.3,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,27,1995,26.3,-0.4280538834905829,-0.4246441396390137,-0.31285963976771886,0.0,0.0,0.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,1995,26.3,0.0,0.0,0.0,0.0,27,1995,26.3,10.0,-0.3600600598727222,-0.3797453593702314,-0.3316251144282009,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,27,1995,26.3,0.0,-0.21375727072776146,0.0,-0.4056717861391436,-0.37823455060996736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,1995,38,62,57.2,26.3,27,76,6,11,28,0,1.08,28,35,-7,-0.27,27,1995,26.3,9,1,0,35.0,83.0,11.0,161.0,8.0,10.0,0.0,0.0,0
Larry Vásquez,ve VEN,MF,Millonarios,Primera Division Colombia,31,1991,41,28,29.4,2,0.07,0,0.0,2,0.07,2,0.07,0,0,10,0,0.07,31,1991,29.4,0.30863608007887633,0.8070440895424965,3.0,14.3,0.71,0.1,0.1,0.67,0.0,0,0,31,1991,29.4,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,31,1991,29.4,-0.4280538834905829,-0.4246441396390137,-0.31285963976771886,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,1991,29.4,0.0,0.0,0.0,0.0,31,1991,29.4,55.0,-0.3600600598727222,-0.3797453593702314,-0.3316251144282009,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,31,1991,29.4,0.0,-0.21375727072776146,0.0,-0.4056717861391436,-0.37823455060996736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,1991,41,65,54.2,29.4,28,83,17,13,25,2,1.79,38,32,6,0.2,31,1991,29.4,10,0,0,40.0,19.0,0.0,3.0,31.0,55.0,0.0,0.0,0
